n,ij,ji
2807,53.59,66.32
2808,50.24,54.59
2809,47.61,51.34
2810,49.35,54.03
2811,49.81,55.10
2812,50.11,56.58
2813,51.49,55.92
2814,92.31,103.43
2815,83.19,104.07
2816,49.99,54.77
2817,50.13,55.68
2818,51.31,58.85
2819,51.22,58.30
2820,51.95,55.73
2821,50.79,56.42
2822,55.43,62.82
2823,60.70,63.18
2824,59.00,54.21
2825,52.59,52.80
2826,55.73,56.12
2827,52.51,57.59
2828,52.49,56.01
2829,54.67,56.19
2830,59.69,70.41
2831,56.48,56.89
2832,51.14,52.96
2833,51.05,55.17
2834,52.62,58.62
2835,52.60,58.55
2836,52.71,59.45
2837,53.00,59.03
2838,56.88,64.40
2839,56.45,64.73
2840,53.55,57.91
2841,51.56,57.21
2842,52.18,58.43
2843,51.48,58.03
2844,51.61,57.58
2845,52.74,56.24
2846,62.16,70.22
2847,62.63,69.71
2848,57.47,56.95
2849,54.49,59.59
2850,52.54,55.52
2851,53.60,57.60
2852,53.38,57.00
2853,52.69,58.16
2854,55.31,63.47
2855,54.62,63.53
2856,52.02,56.43
2857,52.10,56.47
2858,53.19,60.03
2859,52.62,59.95
2860,53.04,58.87
2861,53.07,58.49
2862,56.69,67.54
2863,56.43,67.52
2864,53.07,58.54
2865,53.02,57.91
2866,53.48,59.43
2867,52.68,57.65
2868,60.92,67.09
2869,63.47,66.78
2870,66.76,74.39
2871,67.74,75.22
2872,62.77,63.61
2873,61.62,64.49
2874,63.24,69.55
2875,62.70,69.22
2876,63.40,70.19
2877,63.40,68.66
2878,78.80,81.73
2879,78.25,81.07
2880,63.17,67.65
2881,62.52,68.46
2882,62.27,71.79
2883,63.90,72.61
2884,66.24,71.58
2885,66.22,70.89
2886,67.27,74.24
2887,58.40,63.74
2888,52.87,53.40
2889,51.26,51.71
2890,54.76,60.28
2891,54.97,60.06
2892,55.24,58.34
2893,55.25,58.84
2894,59.62,66.36
2895,58.66,66.12
2896,54.24,56.14
2897,54.51,57.06
2898,56.58,62.03
2899,57.62,62.04
2900,55.44,59.60
2901,55.73,58.99
2902,59.06,66.04
2903,57.99,65.45
2904,54.28,56.65
2905,53.80,56.44
2906,55.92,61.65
2907,55.86,62.05
2908,55.64,59.48
2909,55.02,59.70
2910,63.54,68.72
2911,62.98,67.20
2912,53.47,54.92
2913,53.78,55.38
2914,53.78,59.88
2915,53.96,58.96
2916,55.96,59.52
2917,55.85,60.34
2918,58.95,67.21
2919,58.74,67.26
2920,56.80,60.20
2921,56.58,60.54
2922,56.21,63.19
2923,56.46,63.30
2924,55.84,58.56
2925,55.61,58.79
2926,60.55,69.95
2927,64.49,69.45
2928,57.00,61.17
2929,57.33,60.29
2930,56.35,62.17
2931,55.78,61.92
2932,55.89,60.41
2933,56.78,60.77
2934,58.90,66.33
2935,59.41,66.55
2936,56.28,59.84
2937,56.78,61.13
2938,56.43,61.80
2939,56.66,62.05
2940,56.67,60.21
2941,56.40,60.48
2942,77.07,79.37
2943,75.64,80.82
2944,55.61,60.45
2945,56.44,61.20
2946,55.38,61.68
2947,56.56,62.19
2948,56.38,60.31
2949,56.34,60.66
2950,57.78,63.69
2951,58.83,64.89
2952,56.08,58.88
2953,55.72,60.57
2954,54.48,59.00
2955,55.18,59.60
