n,add,in
1362,4.76,2.29
1363,4.52,2.19
1364,4.45,2.17
1365,4.99,2.33
1366,5.65,2.69
1367,5.99,2.36
1368,4.31,2.38
1369,4.38,2.07
1370,4.45,2.35
1371,4.84,2.02
1372,4.59,2.33
1373,4.75,2.06
1374,6.80,2.73
1375,6.51,3.53
1376,5.16,2.19
1377,4.90,2.18
1378,4.46,2.21
1379,4.56,2.02
1380,4.79,2.29
1381,4.67,2.23
1382,6.50,2.96
1383,6.27,4.73
1384,4.74,2.22
1385,4.55,2.14
1386,4.84,2.22
1387,5.12,2.13
1388,4.79,2.22
1389,4.80,2.26
1390,8.31,4.00
1391,6.04,2.79
1392,5.18,2.22
1393,4.59,2.59
1394,5.37,2.29
1395,4.89,2.10
1396,4.85,2.52
1397,5.13,2.40
1398,6.97,2.60
1399,6.05,2.60
1400,4.64,2.19
1401,4.70,2.62
1402,5.39,2.30
1403,5.07,2.14
1404,6.26,3.54
1405,5.71,2.37
1406,9.48,7.60
1407,10.35,7.78
1408,5.24,2.33
1409,4.74,2.33
1410,5.05,2.34
1411,5.33,2.34
1412,4.90,2.38
1413,5.03,2.37
1414,6.11,2.93
1415,6.63,2.62
1416,4.81,2.28
1417,4.97,2.72
1418,6.54,2.37
1419,6.92,3.09
1420,5.46,3.13
1421,5.03,2.36
1422,6.45,3.10
1423,7.02,2.78
1424,5.24,3.29
1425,5.20,2.40
1426,7.25,3.56
1427,5.63,2.47
1428,5.61,2.44
1429,5.32,2.76
1430,6.56,2.94
1431,6.69,3.12
1432,5.23,2.53
1433,6.20,2.56
1434,5.60,2.48
1435,5.56,2.65
1436,5.14,2.41
1437,6.26,3.15
1438,6.89,3.00
1439,6.57,3.65
1440,8.02,3.02
1441,5.55,3.03
1442,5.51,2.52
1443,5.34,2.69
1444,5.94,2.45
1445,5.33,2.57
1446,6.75,2.88
1447,6.46,3.43
1448,5.57,2.68
1449,5.34,2.50
1450,5.50,2.75
1451,5.42,2.40
1452,5.13,2.64
1453,5.46,2.52
1454,7.04,3.01
1455,7.38,3.27
1456,5.12,2.45
1457,5.25,3.23
1458,5.32,2.57
1459,5.67,3.26
1460,5.10,2.62
1461,8.89,3.83
1462,6.57,3.23
1463,7.81,3.30
1464,5.22,2.83
1465,5.16,2.51
1466,5.46,2.62
1467,5.97,2.48
1468,5.37,2.57
1469,5.67,2.56
1470,8.32,6.82
1471,8.32,6.59
1472,5.32,2.56
1473,5.62,2.93
1474,5.67,2.95
1475,5.97,3.40
1476,7.48,3.23
1477,6.89,2.73
1478,6.78,3.29
1479,6.70,3.44
1480,5.65,2.72
1481,6.25,2.63
1482,6.40,2.66
1483,6.08,3.57
1484,7.12,3.22
1485,5.68,2.78
1486,8.12,3.41
1487,7.27,3.43
1488,5.32,2.71
1489,6.81,2.75
1490,6.41,3.14
1491,5.60,2.62
1492,6.09,2.69
1493,5.53,2.80
1494,7.59,3.45
1495,7.23,3.20
1496,5.89,2.81
1497,7.77,3.80
1498,6.52,2.85
1499,5.84,3.05
1500,6.19,2.76
1501,6.58,2.72
1502,9.60,5.53
1503,7.94,5.13
1504,5.93,3.17
1505,9.45,3.00
1506,5.84,2.64
1507,6.25,2.73
1508,5.81,2.77
1509,6.29,3.06
1510,7.91,3.23
1511,7.16,3.78
1512,5.81,2.73
1513,5.72,2.75
1514,6.22,2.67
1515,5.94,2.79
1516,6.27,2.79
1517,6.24,3.00
1518,7.83,4.07
1519,7.58,3.36
1520,6.22,2.77
1521,5.71,3.30
1522,8.18,3.15
1523,7.90,3.08
1524,6.33,2.75
1525,5.77,3.25
1526,7.23,3.39
1527,7.67,3.26
1528,6.42,2.83
1529,6.06,3.15
1530,6.29,2.82
1531,6.52,3.15
1532,6.72,2.86
1533,6.27,3.15
1534,15.97,14.11
1535,14.78,14.15
1536,7.03,3.36
1537,6.24,3.10
1538,6.18,2.91
1539,6.38,3.02
1540,6.31,3.04
1541,6.11,3.16
1542,7.46,3.69
1543,7.43,3.41
1544,6.11,2.95
1545,6.59,2.85
1546,9.50,3.24
1547,9.31,3.33
1548,6.75,3.12
1549,6.29,3.31
1550,10.04,6.39
1551,10.48,7.81
1552,7.58,3.58
1553,7.63,4.46
1554,6.83,3.58
1555,6.49,3.34
1556,6.59,3.17
1557,6.47,3.35
1558,9.32,4.35
1559,9.54,4.50
1560,8.05,3.16
1561,6.80,3.12
1562,7.12,2.95
1563,7.13,2.99
1564,6.97,3.04
1565,6.77,3.03
1566,9.50,6.65
1567,8.94,6.59
1568,7.11,3.11
1569,7.03,3.08
1570,7.66,3.46
1571,7.65,3.93
1572,7.28,3.28
1573,7.09,3.21
1574,8.55,3.54
1575,8.34,3.52
1576,6.44,3.82
1577,6.66,3.36
1578,6.71,3.00
1579,6.67,2.98
1580,6.59,3.04
1581,6.49,3.10
1582,9.47,4.60
1583,8.55,4.25
1584,6.99,3.08
1585,6.95,3.19
1586,6.59,3.13
1587,6.84,3.84
1588,6.75,3.31
1589,7.00,3.15
1590,8.12,3.69
1591,7.96,3.60
1592,6.39,3.19
1593,6.39,3.43
1594,6.99,3.17
1595,7.01,2.95
1596,7.88,3.19
1597,7.97,3.36
1598,10.93,8.34
1599,10.67,8.22
1600,7.58,3.13
1601,6.62,3.20
1602,7.60,3.36
1603,6.92,3.10
1604,7.55,3.16
1605,7.24,3.19
1606,8.49,4.42
1607,9.52,4.10
1608,8.15,3.58
1609,10.45,5.44
1610,6.99,3.65
1611,7.77,4.43
1612,7.07,3.48
1613,7.16,3.29
1614,9.19,3.88
1615,9.12,3.80
1616,6.82,3.37
1617,6.75,3.36
1618,7.31,3.37
1619,7.21,3.11
1620,6.88,3.34
1621,6.96,3.27
1622,8.89,4.33
1623,9.06,4.23
1624,8.46,3.37
1625,8.26,3.31
1626,6.92,3.24
1627,7.30,3.13
1628,7.49,3.37
1629,7.31,4.14
1630,9.56,4.70
1631,10.10,5.07
1632,7.33,3.28
1633,7.36,3.29
1634,7.48,3.73
1635,7.65,3.22
1636,8.09,3.30
1637,7.25,3.22
1638,9.02,3.94
1639,8.50,4.33
1640,7.43,3.85
1641,7.83,3.59
1642,9.04,3.25
1643,7.12,3.26
1644,8.80,3.85
1645,9.21,3.69
1646,9.43,4.33
1647,9.40,4.37
1648,8.36,4.38
1649,7.62,3.44
1650,8.35,3.41
1651,7.85,3.43
1652,8.68,3.33
1653,7.72,3.72
1654,9.33,3.93
1655,9.25,3.93
1656,8.25,3.75
1657,7.53,3.42
1658,7.54,3.39
1659,7.54,4.09
1660,7.87,3.82
1661,8.27,3.47
1662,14.81,12.86
1663,14.75,13.22
1664,7.74,3.50
1665,7.64,3.48
1666,8.08,3.66
1667,8.34,4.01
1668,7.81,3.55
1669,7.35,3.44
1670,9.76,4.13
1671,9.80,5.35
1672,7.33,3.86
1673,7.77,3.66
1674,7.76,3.49
1675,7.72,3.97
1676,7.95,3.52
1677,8.48,3.54
1678,9.56,4.98
1679,10.59,4.17
1680,7.76,3.85
1681,8.27,3.69
1682,8.36,3.56
1683,8.51,3.43
1684,8.19,3.59
1685,9.26,4.47
1686,10.29,5.02
1687,10.59,4.22
1688,8.95,3.71
1689,8.04,3.63
1690,9.09,3.65
1691,8.02,3.69
1692,8.19,4.00
1693,9.23,3.96
1694,9.91,4.68
1695,10.18,4.69
1696,10.09,4.19
1697,9.80,5.08
1698,8.38,4.44
1699,8.72,3.63
1700,8.26,3.80
1701,8.56,4.52
1702,10.59,5.09
1703,9.93,4.78
1704,8.07,3.67
1705,8.50,3.80
1706,8.69,3.81
1707,9.40,4.06
1708,8.44,3.77
1709,8.91,3.75
1710,10.51,4.71
1711,10.51,4.63
1712,8.75,4.13
1713,8.56,3.83
1714,8.79,3.62
1715,8.25,4.11
1716,8.35,3.84
1717,7.99,3.72
1718,10.04,4.40
1719,9.70,4.64
1720,8.20,3.86
1721,7.95,4.05
1722,11.62,5.72
1723,8.73,3.68
1724,10.77,3.88
1725,8.33,3.81
1726,13.27,9.81
1727,13.38,10.11
1728,8.63,4.02
1729,8.29,4.59
1730,8.89,3.98
1731,8.96,3.74
1732,10.12,4.77
1733,10.45,4.01
1734,11.84,4.78
1735,11.31,4.54
1736,11.40,5.05
1737,10.56,5.22
1738,8.71,3.83
1739,9.94,3.81
1740,12.12,4.58
1741,11.33,4.76
1742,12.51,4.88
1743,11.54,4.74
1744,9.67,4.54
1745,9.75,4.46
1746,10.58,4.11
1747,10.17,4.70
1748,10.14,4.71
1749,9.28,4.33
1750,10.20,5.64
1751,10.24,5.28
1752,8.42,4.27
1753,9.86,4.00
1754,10.80,5.81
1755,9.84,4.03
1756,9.55,3.99
1757,9.53,3.93
1758,11.29,5.42
1759,10.73,5.50
1760,10.39,5.28
1761,9.17,4.32
1762,9.47,3.91
1763,9.90,3.81
1764,11.86,6.20
1765,9.20,3.96
1766,10.75,4.75
1767,11.19,4.58
1768,10.13,4.38
1769,9.56,3.93
1770,8.78,5.65
1771,16.23,5.15
1772,17.44,7.68
1773,13.47,6.67
1774,11.87,5.11
1775,15.02,6.84
1776,11.45,4.98
1777,9.95,4.53
1778,10.08,3.97
1779,10.00,4.48
1780,10.01,4.35
1781,9.92,4.20
1782,11.18,5.44
1783,12.79,5.21
1784,9.36,4.18
1785,9.23,4.58
1786,10.49,4.33
1787,12.59,4.68
1788,9.20,4.42
1789,9.06,4.17
1790,22.14,19.51
1791,22.00,19.53
1792,9.66,4.19
1793,13.38,4.61
1794,9.27,4.11
1795,9.18,3.98
1796,9.79,4.11
1797,13.09,4.35
1798,11.88,5.14
1799,14.28,4.91
1800,10.33,4.18
1801,10.01,4.15
1802,9.37,4.41
1803,9.27,4.86
1804,11.57,5.05
1805,10.95,4.67
1806,11.51,5.28
1807,12.26,5.23
1808,11.17,4.47
1809,11.23,4.73
1810,10.28,4.03
1811,9.97,4.04
1812,9.96,4.26
1813,10.64,4.49
1814,11.73,4.93
1815,14.67,5.30
1816,9.97,4.19
1817,9.57,4.29
1818,9.62,4.11
1819,10.66,4.77
1820,13.90,6.77
1821,10.16,4.59
1822,12.67,7.05
1823,16.19,8.07
1824,9.55,4.63
1825,9.53,4.53
1826,10.74,4.35
1827,10.95,5.57
1828,10.01,5.26
1829,10.01,4.29
1830,12.70,5.89
1831,12.48,5.36
1832,11.73,4.63
1833,11.91,4.79
1834,12.79,4.89
1835,11.07,4.58
1836,11.00,4.42
1837,13.54,4.99
1838,14.35,6.32
1839,13.55,6.15
1840,10.82,4.90
1841,11.14,4.54
1842,13.45,4.91
1843,10.95,4.37
1844,10.72,4.98
1845,10.98,4.46
1846,12.82,5.32
1847,12.88,7.09
1848,10.39,5.12
1849,10.86,4.44
1850,10.48,4.49
1851,10.76,4.55
1852,12.86,4.69
1853,11.68,4.60
1854,18.08,14.46
1855,17.53,13.23
1856,13.77,4.90
1857,13.79,4.90
1858,12.72,4.52
1859,12.33,4.52
1860,10.94,5.17
1861,11.91,4.44
1862,13.01,6.22
1863,13.08,5.37
1864,14.28,4.89
1865,11.21,4.91
1866,11.41,4.43
1867,12.64,4.89
1868,11.75,4.77
1869,11.37,4.89
1870,13.62,5.51
1871,13.59,5.48
1872,11.51,4.67
1873,13.56,6.08
1874,13.22,4.79
1875,14.07,5.03
1876,12.53,4.78
1877,12.49,5.15
1878,14.85,6.26
1879,13.89,5.90
1880,11.91,5.00
1881,12.71,4.65
1882,14.80,4.98
1883,13.85,5.48
1884,13.72,4.93
1885,14.83,6.08
1886,17.63,7.56
1887,15.12,6.78
1888,13.41,6.60
1889,12.55,5.19
1890,12.10,5.50
1891,12.25,4.56
1892,11.56,4.96
1893,11.79,4.78
1894,13.99,5.59
1895,13.72,6.65
1896,11.77,5.16
1897,13.18,5.31
1898,12.87,4.82
1899,11.71,4.93
1900,12.00,4.68
1901,12.15,4.70
1902,15.89,6.63
1903,15.34,6.21
1904,13.12,4.84
1905,12.57,4.75
1906,12.97,5.37
1907,12.45,4.83
1908,13.26,5.14
1909,12.82,4.89
1910,15.36,5.86
1911,15.02,5.84
1912,15.36,7.23
1913,17.47,6.56
1914,13.80,5.47
1915,14.04,5.08
1916,13.20,6.75
1917,13.08,5.92
1918,23.60,19.81
1919,23.44,22.06
1920,15.87,5.64
1921,12.96,5.38
1922,12.13,4.81
1923,15.26,6.42
1924,13.06,4.93
1925,14.18,6.57
1926,14.44,5.72
1927,14.12,5.85
1928,13.17,4.93
1929,12.92,5.09
1930,13.58,5.07
1931,14.82,6.00
1932,12.88,4.91
1933,12.90,5.41
1934,17.22,7.70
1935,14.79,6.13
1936,12.87,4.93
1937,12.55,5.05
1938,13.25,5.23
1939,13.73,5.05
1940,16.05,5.85
1941,16.64,6.77
1942,17.24,6.37
1943,16.12,6.51
1944,14.00,5.64
1945,13.43,5.06
1946,13.83,4.81
1947,13.54,5.16
1948,13.14,5.92
1949,14.78,5.71
1950,17.62,8.80
1951,18.20,7.79
1952,14.79,6.66
1953,16.29,5.72
1954,15.13,5.88
1955,13.98,5.73
1956,14.04,5.36
1957,16.10,6.25
1958,15.35,6.01
1959,15.06,6.02
1960,13.67,5.09
1961,13.81,5.48
1962,13.41,5.23
1963,13.43,5.31
1964,15.18,5.58
1965,16.21,6.14
1966,16.85,6.54
1967,16.61,6.71
1968,16.99,5.98
1969,19.56,9.44
1970,20.92,6.52
1971,18.91,5.74
1972,15.97,5.65
1973,14.55,5.33
1974,16.19,6.63
1975,16.30,6.18
1976,13.09,4.96
1977,13.19,4.94
1978,13.94,5.34
1979,14.14,5.34
1980,14.13,5.51
1981,14.80,5.27
1982,28.09,18.55
1983,28.77,17.60
1984,16.72,7.22
1985,16.28,6.50
1986,16.98,6.18
1987,16.04,6.05
1988,15.37,5.26
1989,15.77,5.40
1990,19.44,7.84
1991,25.50,9.67
1992,17.94,5.72
1993,16.05,5.49
1994,15.49,5.33
1995,15.03,5.30
1996,16.79,6.43
1997,16.49,6.36
1998,18.84,7.08
1999,18.88,7.09
2000,16.80,5.93
2001,19.66,6.64
2002,10.63,5.00
2003,10.17,5.05
2004,9.80,5.85
2005,10.01,5.62
2006,12.52,5.56
2007,13.25,6.94
2008,9.74,4.71
2009,9.74,4.75
2010,10.60,4.83
2011,11.24,5.40
2012,11.58,4.86
2013,10.65,5.77
2014,17.42,8.35
2015,17.90,7.87
2016,11.83,8.60
2017,15.85,5.27
2018,11.21,4.77
2019,11.14,4.87
2020,13.74,6.47
2021,13.02,5.45
2022,12.90,5.68
2023,12.87,5.72
2024,10.97,5.00
2025,11.07,5.15
2026,12.41,5.46
2027,13.67,5.23
2028,10.89,6.70
2029,10.75,5.24
2030,20.07,9.09
2031,26.52,11.21
2032,14.13,7.03
2033,13.31,6.82
2034,12.04,5.95
2035,13.35,5.67
2036,11.07,6.23
2037,13.07,5.52
2038,14.34,7.14
2039,14.06,6.08
2040,11.32,6.39
2041,11.84,5.47
2042,12.11,6.70
2043,12.24,5.06
2044,10.97,5.67
2045,11.38,5.84
2046,53.80,29.10
2047,35.34,24.67
2048,13.42,5.97
2049,12.01,5.09
2050,13.53,5.35
2051,14.82,6.56
2052,13.33,6.20
2053,13.78,6.84
2054,16.84,6.91
2055,17.87,6.32
2056,13.91,5.46
2057,13.65,6.19
2058,13.25,6.62
2059,14.40,6.22
2060,14.23,5.96
2061,13.69,5.53
2062,24.45,9.96
2063,25.63,10.08
2064,14.73,6.53
2065,15.97,7.75
2066,15.74,6.04
2067,14.46,5.59
2068,16.11,5.80
2069,16.98,7.35
2070,18.54,6.87
2071,15.13,6.19
2072,17.59,8.18
2073,14.66,6.27
2074,15.11,5.88
2075,14.53,5.74
2076,13.41,5.81
2077,13.54,5.48
2078,22.99,12.71
2079,22.67,10.82
2080,15.79,6.49
2081,14.39,6.06
2082,16.00,6.12
2083,16.45,6.07
2084,14.10,6.15
2085,13.76,5.96
2086,15.93,6.34
2087,15.82,6.58
2088,14.41,5.51
2089,16.16,7.65
2090,14.19,5.58
2091,17.67,8.34
2092,14.30,5.61
2093,13.55,5.72
2094,17.68,7.02
2095,17.84,6.90
2096,16.28,6.42
2097,16.48,6.64
2098,14.75,6.70
2099,19.89,6.79
2100,15.08,7.44
2101,15.16,6.05
2102,16.79,6.59
2103,17.29,7.36
2104,14.20,6.00
2105,14.33,6.29
2106,19.00,6.86
2107,17.58,6.38
2108,15.75,5.89
2109,17.15,5.96
2110,33.48,17.23
2111,27.39,17.04
2112,15.61,5.77
2113,14.76,5.72
2114,16.29,5.97
2115,15.73,5.66
2116,17.73,6.67
2117,14.79,6.35
2118,17.97,7.22
2119,18.29,6.98
2120,16.22,6.34
2121,15.92,6.19
2122,15.68,6.02
2123,15.63,5.93
2124,14.99,5.94
2125,15.24,7.72
2126,17.97,7.70
2127,17.91,7.38
2128,17.07,6.45
2129,21.06,7.24
2130,19.50,7.57
2131,19.42,8.33
2132,16.76,7.85
2133,16.04,6.38
2134,18.86,6.92
2135,19.10,7.22
2136,15.74,6.45
2137,16.19,5.96
2138,16.19,5.91
2139,18.90,9.72
2140,15.88,6.32
2141,16.42,6.38
2142,20.80,8.87
2143,21.52,9.17
2144,17.96,9.28
2145,17.44,7.02
2146,17.12,7.00
2147,16.98,6.23
2148,16.37,6.20
2149,16.17,6.64
2150,20.25,7.28
2151,20.37,7.66
2152,18.23,6.79
2153,19.05,9.20
2154,17.24,6.62
2155,17.24,6.30
2156,17.64,7.41
2157,22.11,6.81
2158,19.12,7.95
2159,20.21,8.39
2160,17.41,6.60
2161,20.86,7.53
2162,18.83,6.39
2163,18.40,6.67
2164,19.65,7.40
2165,21.97,7.84
2166,22.70,8.84
2167,23.14,8.92
2168,18.50,6.69
2169,18.44,7.03
2170,21.07,7.15
2171,18.85,6.88
2172,18.24,7.60
2173,18.36,7.00
2174,30.89,21.95
2175,30.63,23.97
2176,18.31,6.84
2177,18.35,6.85
2178,18.20,6.68
2179,21.27,6.99
2180,18.12,6.74
2181,18.60,6.62
2182,21.20,7.92
2183,27.98,11.77
2184,22.82,7.62
2185,17.43,7.33
2186,18.70,7.05
2187,19.04,7.57
2188,18.99,7.68
2189,17.80,6.98
2190,26.10,10.50
2191,22.00,8.95
2192,18.27,7.13
2193,18.52,6.83
2194,18.63,8.89
2195,19.44,6.62
2196,19.19,7.24
2197,19.31,7.35
2198,22.32,8.72
2199,21.92,8.93
2200,22.28,9.64
2201,23.66,10.73
2202,25.62,9.08
2203,26.21,9.29
2204,23.67,8.40
2205,22.72,8.01
2206,24.63,10.28
2207,25.28,10.30
2208,19.43,7.05
2209,18.61,7.13
2210,21.32,7.03
2211,19.78,7.06
2212,19.67,7.98
2213,19.38,7.20
2214,21.86,8.31
2215,21.82,9.04
2216,19.02,6.81
2217,19.06,6.89
2218,20.22,7.09
2219,20.34,6.92
2220,19.79,7.23
2221,19.25,7.13
2222,23.23,9.09
2223,23.15,8.60
2224,19.95,7.16
2225,20.62,7.28
2226,21.18,6.97
2227,19.97,7.18
2228,22.70,10.37
2229,21.14,8.13
2230,23.98,9.20
2231,22.51,8.65
2232,19.73,7.56
2233,20.26,7.46
2234,21.01,7.42
2235,21.08,7.36
2236,19.83,7.69
2237,19.91,7.77
2238,33.18,18.75
2239,32.05,18.74
2240,22.03,8.03
2241,22.65,7.62
2242,21.48,7.48
2243,21.39,7.25
2244,25.12,8.23
2245,20.81,7.58
2246,24.00,8.64
2247,23.80,8.50
2248,20.24,7.25
2249,20.32,7.26
2250,25.25,9.53
2251,22.29,9.16
2252,20.95,7.25
2253,20.61,7.78
2254,24.46,12.56
2255,24.42,9.45
2256,21.55,8.07
2257,22.33,7.87
2258,21.36,7.18
2259,21.42,7.79
2260,23.73,8.29
2261,21.78,7.55
2262,24.49,8.86
2263,24.34,8.65
2264,21.22,7.57
2265,23.21,7.82
2266,22.09,7.50
2267,21.90,7.52
2268,21.48,7.93
2269,21.36,7.80
2270,30.72,10.54
2271,27.76,10.67
2272,22.04,7.59
2273,21.48,7.66
2274,22.06,8.09
2275,22.18,8.06
2276,25.07,8.46
2277,22.43,8.65
2278,25.88,12.94
2279,24.97,9.40
2280,22.91,8.22
2281,22.13,8.14
2282,23.63,7.74
2283,24.17,7.99
2284,22.78,8.00
2285,22.54,7.77
2286,25.36,8.95
2287,25.36,9.45
2288,22.65,7.69
2289,25.86,10.28
2290,23.70,8.18
2291,23.76,8.49
2292,25.49,8.75
2293,25.94,8.41
2294,30.88,10.45
2295,31.29,11.54
2296,26.73,9.91
2297,25.57,9.96
2298,31.50,10.13
2299,27.14,9.46
2300,24.78,10.83
2301,26.27,9.69
2302,49.90,29.25
2303,53.49,29.50
2304,25.41,9.44
2305,26.25,8.61
2306,26.16,7.87
2307,29.37,10.81
2308,26.82,10.07
2309,26.91,7.83
2310,31.70,12.47
2311,29.58,11.44
2312,25.64,8.88
2313,25.55,9.04
2314,30.04,9.83
2315,30.50,9.46
2316,30.66,10.62
2317,29.97,9.47
2318,32.06,13.69
2319,30.57,11.98
2320,28.27,9.78
2321,27.73,9.44
2322,26.34,8.72
2323,26.56,8.84
2324,25.34,8.65
2325,25.90,8.79
2326,29.48,9.93
2327,29.43,10.33
2328,25.75,8.48
2329,26.70,8.40
2330,27.92,9.65
2331,28.68,9.18
2332,30.14,9.60
2333,30.67,9.31
2334,34.00,12.15
2335,34.29,11.73
2336,29.53,9.46
2337,29.97,9.18
2338,28.78,8.43
2339,29.08,9.80
2340,27.87,8.56
2341,31.28,9.03
2342,34.10,10.48
2343,34.32,10.40
2344,30.48,10.48
2345,29.10,8.71
2346,30.53,8.77
2347,29.91,9.14
2348,29.80,9.60
2349,30.79,10.05
2350,33.82,11.29
2351,33.35,11.52
2352,30.95,9.96
2353,30.70,9.84
2354,32.86,9.91
2355,30.84,9.80
2356,32.47,10.89
2357,30.84,10.50
2358,32.65,11.19
2359,32.38,11.28
2360,30.57,13.98
2361,29.08,9.04
2362,29.37,10.09
2363,29.24,10.01
2364,27.92,8.94
2365,29.79,9.53
2366,41.57,21.77
2367,41.45,21.43
2368,33.96,10.62
2369,33.84,11.56
2370,31.49,9.52
2371,31.14,10.09
2372,30.11,10.56
2373,29.65,10.29
2374,33.73,10.78
2375,32.19,11.01
2376,30.31,10.01
2377,30.42,10.11
2378,36.95,11.41
2379,36.79,11.32
2380,34.78,10.10
2381,31.51,9.46
2382,34.18,10.99
2383,33.78,10.85
2384,28.61,9.04
2385,27.87,9.12
2386,30.30,9.17
2387,28.90,9.65
2388,28.89,8.86
2389,29.00,8.98
2390,34.96,10.97
2391,34.92,11.51
2392,31.55,10.30
2393,33.39,10.06
2394,35.00,10.21
2395,34.37,10.81
2396,32.89,9.86
2397,34.03,10.48
2398,39.50,13.02
2399,38.55,12.54
2400,32.57,10.46
2401,32.99,10.50
2402,33.02,9.76
2403,33.63,11.99
2404,34.13,10.99
2405,33.71,10.23
2406,36.63,12.39
2407,36.14,12.14
2408,32.05,10.19
2409,31.96,9.66
2410,33.29,10.57
2411,34.25,10.58
2412,32.32,9.70
2413,33.55,10.06
2414,37.19,12.45
2415,39.87,13.41
2416,35.47,10.66
2417,33.26,11.04
2418,38.64,10.60
2419,35.42,10.17
2420,34.59,10.01
2421,37.95,10.94
2422,40.61,13.44
2423,39.85,12.64
2424,35.86,11.56
2425,37.47,10.96
2426,35.69,11.17
2427,35.83,11.10
2428,35.07,10.11
2429,35.16,10.32
2430,49.68,29.09
2431,48.78,27.79
2432,33.86,10.30
2433,34.01,10.36
2434,33.86,10.34
2435,33.79,9.96
2436,36.05,12.01
2437,34.45,10.31
2438,38.37,12.97
2439,37.39,12.74
2440,34.55,11.08
2441,35.48,10.83
2442,37.67,10.98
2443,39.91,11.19
2444,36.61,11.99
2445,36.05,15.05
2446,38.68,12.79
2447,39.11,12.86
2448,38.37,10.66
2449,35.57,10.38
2450,36.46,11.45
2451,36.89,13.26
2452,36.80,17.05
2453,38.98,12.09
2454,43.24,12.85
2455,44.82,13.35
2456,38.56,11.11
2457,38.00,10.79
2458,42.85,12.10
2459,39.75,11.65
2460,37.50,11.42
2461,38.25,11.70
2462,40.13,13.61
2463,41.10,13.17
2464,35.54,10.49
2465,35.31,11.09
2466,37.62,10.95
2467,37.85,10.65
2468,36.70,11.04
2469,36.10,11.03
2470,39.92,12.53
2471,39.29,12.31
2472,35.81,10.68
2473,36.58,11.31
2474,36.07,11.12
2475,36.76,10.90
2476,36.31,12.07
2477,37.73,10.96
2478,44.29,13.25
2479,44.80,13.60
2480,39.42,11.29
2481,44.62,12.47
2482,42.24,12.20
2483,43.38,12.61
2484,37.76,11.48
2485,43.20,11.98
2486,42.35,13.16
2487,41.50,13.15
2488,36.98,10.87
2489,40.37,11.93
2490,41.36,13.46
2491,44.26,13.74
2492,45.07,15.05
2493,47.22,13.18
2494,61.07,28.37
2495,59.80,30.25
2496,45.41,14.15
2497,40.83,12.96
2498,39.96,12.63
2499,41.10,13.01
2500,38.82,13.79
2501,44.70,17.39
2502,46.11,15.57
2503,43.84,15.30
2504,38.57,11.84
2505,39.57,12.77
2506,43.02,12.48
2507,43.04,13.17
2508,41.76,12.90
2509,41.44,12.68
2510,51.40,15.74
2511,52.12,15.73
2512,43.73,13.53
2513,46.07,13.75
2514,45.84,13.55
2515,46.84,14.60
2516,50.84,13.77
2517,48.96,13.90
2518,51.47,14.90
2519,49.62,15.04
2520,43.58,12.34
2521,43.85,12.72
2522,45.76,12.75
2523,51.87,14.74
2524,46.05,13.38
2525,44.69,12.46
2526,50.34,15.97
2527,53.12,18.32
2528,48.22,14.57
2529,45.41,13.59
2530,45.88,13.31
2531,43.10,12.64
2532,41.40,12.53
2533,40.83,12.25
2534,49.98,15.94
2535,58.01,17.92
2536,54.75,14.97
2537,46.61,13.65
2538,46.00,16.55
2539,42.21,15.54
2540,40.37,13.31
2541,41.55,12.81
2542,53.55,24.04
2543,48.20,24.19
2544,43.28,12.79
2545,41.15,12.94
2546,43.25,12.83
2547,43.43,12.85
2548,40.52,13.08
2549,47.62,14.30
2550,47.27,15.16
2551,45.98,14.74
2552,41.32,12.08
2553,40.32,12.24
2554,39.83,11.71
2555,39.20,12.36
2556,39.88,12.01
2557,45.23,12.93
2558,66.35,48.48
2559,63.47,49.00
2560,42.57,13.33
2561,42.13,12.97
2562,40.76,13.99
2563,41.01,13.83
2564,42.48,12.64
2565,45.45,12.86
2566,50.83,19.39
2567,50.88,20.38
2568,47.47,12.57
2569,46.72,12.68
2570,45.58,12.70
2571,44.71,13.64
2572,45.53,13.14
2573,45.82,12.66
2574,49.24,27.15
2575,48.73,26.87
2576,46.81,13.05
2577,42.34,12.53
2578,41.11,14.44
2579,43.74,14.80
2580,42.61,12.56
2581,43.87,13.62
2582,51.28,15.32
2583,52.23,16.05
2584,47.12,14.49
2585,46.10,13.44
2586,43.28,14.38
2587,44.32,14.10
2588,44.32,13.22
2589,48.90,14.65
2590,54.34,31.04
2591,51.46,26.25
2592,47.62,13.60
2593,43.98,14.96
2594,45.75,13.23
2595,49.69,13.48
2596,45.53,13.32
2597,43.54,12.83
2598,47.57,15.18
2599,46.96,15.00
2600,41.97,12.98
2601,42.22,12.96
2602,44.99,13.50
2603,43.68,13.20
2604,43.73,13.57
2605,42.87,13.83
2606,47.96,15.53
2607,50.34,17.34
2608,46.23,13.53
2609,47.25,14.45
2610,47.23,14.25
2611,45.83,13.85
2612,43.04,13.14
2613,43.90,13.42
2614,49.22,15.82
2615,50.07,16.55
2616,47.51,13.74
2617,47.49,13.74
2618,47.74,15.67
2619,56.77,18.02
2620,51.12,15.97
2621,49.76,15.66
2622,56.87,27.86
2623,56.01,26.09
2624,52.88,15.95
2625,51.11,16.08
2626,50.73,14.77
2627,49.56,16.26
2628,50.80,14.24
2629,48.18,13.46
2630,50.58,15.82
2631,50.92,15.59
2632,44.41,13.90
2633,43.77,12.92
