n,add,in
320,0.08,0.06
321,0.08,0.06
322,0.05,0.06
323,0.06,0.06
324,0.09,0.06
325,0.09,0.06
326,0.09,0.06
327,0.10,0.07
328,0.10,0.06
329,0.10,0.07
330,0.05,0.07
331,0.06,0.05
332,0.12,0.07
333,0.15,0.09
334,0.19,0.08
335,0.18,0.10
336,0.09,0.07
337,0.10,0.07
338,0.06,0.08
339,0.11,0.07
340,0.12,0.08
341,0.13,0.08
342,0.11,0.05
343,0.12,0.08
344,0.11,0.08
345,0.11,0.08
346,0.06,0.07
347,0.10,0.07
348,0.17,0.09
349,0.13,0.05
350,0.28,0.14
351,0.20,0.24
352,0.12,0.08
353,0.15,0.09
354,0.07,0.08
355,0.07,0.08
356,0.12,0.08
357,0.12,0.08
358,0.13,0.09
359,0.13,0.09
360,0.22,0.09
361,0.12,0.08
362,0.07,0.09
363,0.07,0.09
364,0.15,0.06
365,0.14,0.06
366,0.22,0.12
367,0.28,0.08
368,0.11,0.09
369,0.13,0.09
370,0.08,0.10
371,0.10,0.08
372,0.12,0.10
373,0.13,0.09
374,0.15,0.10
375,0.15,0.11
376,0.13,0.10
377,0.13,0.10
378,0.09,0.12
379,0.08,0.11
380,0.14,0.10
381,0.12,0.10
382,0.34,0.39
383,0.34,0.39
384,0.21,0.12
385,0.16,0.08
386,0.09,0.11
387,0.08,0.11
388,0.14,0.11
389,0.13,0.11
390,0.17,0.12
391,0.17,0.12
392,0.14,0.11
393,0.14,0.11
394,0.09,0.11
395,0.10,0.11
396,0.14,0.11
397,0.28,0.13
398,0.26,0.15
399,0.26,0.15
400,0.14,0.12
401,0.14,0.11
402,0.10,0.12
403,0.17,0.12
404,0.20,0.11
405,0.15,0.09
406,0.25,0.13
407,0.20,0.12
408,0.16,0.15
409,0.18,0.13
410,0.14,0.11
411,0.10,0.12
412,0.14,0.12
413,0.15,0.12
414,0.27,0.33
415,0.26,0.31
416,0.14,0.13
417,0.14,0.13
418,0.12,0.13
419,0.12,0.13
420,0.16,0.13
421,0.15,0.12
422,0.21,0.14
423,0.21,0.15
424,0.27,0.14
425,0.23,0.11
426,0.12,0.14
427,0.11,0.14
428,0.18,0.13
429,0.36,0.14
430,0.35,0.17
431,0.31,0.17
432,0.15,0.14
433,0.16,0.14
434,0.11,0.14
435,0.25,0.12
436,0.20,0.14
437,0.17,0.14
438,0.24,0.22
439,0.24,0.16
440,0.17,0.14
441,0.16,0.15
442,0.15,0.08
443,0.12,0.15
444,0.16,0.14
445,0.16,0.14
446,0.42,0.47
447,0.43,0.49
448,0.17,0.15
449,0.20,0.10
450,0.14,0.16
451,0.12,0.16
452,0.22,0.14
453,0.27,0.13
454,0.28,0.19
455,0.48,0.18
456,0.22,0.18
457,0.20,0.15
458,0.17,0.16
459,0.66,0.14
460,0.21,0.16
461,0.19,0.16
462,0.56,0.23
463,0.47,0.23
464,0.24,0.14
465,0.23,0.15
466,0.49,0.23
467,0.33,0.15
468,0.24,0.12
469,0.38,0.18
470,0.54,0.14
471,0.39,0.16
472,0.35,0.19
473,0.34,0.14
474,0.56,0.33
475,0.46,0.17
476,0.37,0.17
477,0.19,0.19
478,0.55,0.49
479,0.58,0.39
480,0.25,0.20
481,0.25,0.20
482,0.38,0.21
483,0.20,0.20
484,0.24,0.19
485,0.33,0.18
486,0.60,0.20
487,0.47,0.21
488,0.39,0.14
489,0.39,0.18
490,0.26,0.17
491,0.27,0.19
492,0.91,0.22
493,0.31,0.18
494,0.87,0.74
495,0.79,0.24
496,0.29,0.19
497,0.36,0.17
498,0.42,0.25
499,0.25,0.23
500,0.79,0.52
501,0.33,0.16
502,0.65,0.37
503,0.88,0.31
504,0.39,0.20
505,0.22,0.20
506,0.31,0.17
507,0.31,0.24
508,0.42,0.19
509,0.32,0.22
510,0.94,1.18
511,1.13,0.99
512,0.37,0.21
513,0.44,0.19
514,0.36,0.19
515,0.21,0.25
516,0.46,0.18
517,0.30,0.15
518,0.48,0.24
519,0.62,0.28
520,0.42,0.24
521,0.26,0.22
522,0.37,0.17
523,0.22,0.23
524,0.28,0.19
525,0.43,0.19
526,0.46,0.29
527,0.47,0.27
528,0.37,0.16
529,0.44,0.23
530,0.24,0.24
531,0.45,0.17
532,0.47,0.17
533,0.44,0.17
534,0.98,0.23
535,0.54,0.23
536,0.72,0.28
537,0.70,0.27
538,0.54,0.24
539,0.45,0.27
540,0.33,0.26
541,0.56,0.48
542,0.59,0.52
543,0.71,0.45
544,0.44,0.17
545,0.59,0.25
546,0.33,0.21
547,0.66,0.34
548,0.44,0.20
549,0.64,0.26
550,0.59,0.43
551,0.61,0.22
552,0.59,0.25
553,0.43,0.18
554,0.38,0.28
555,0.43,0.17
556,0.32,0.27
557,0.54,0.25
558,0.72,0.25
559,0.63,0.24
560,0.62,0.23
561,0.39,0.26
562,0.32,0.25
563,0.66,0.24
564,0.37,0.28
565,0.38,0.26
566,0.78,0.26
567,0.56,0.29
568,0.91,0.32
569,0.39,0.26
570,0.47,0.26
571,0.71,0.27
572,0.75,0.42
573,1.41,0.31
574,0.90,0.79
575,1.56,0.85
576,0.43,0.27
577,0.43,0.21
578,0.47,0.23
579,0.50,0.24
580,0.57,0.21
581,0.43,0.26
582,0.98,0.28
583,2.43,0.28
584,0.99,0.23
585,0.56,0.23
586,1.27,0.31
587,0.46,0.27
588,0.46,0.27
589,0.61,0.21
590,0.72,0.38
591,0.88,0.32
592,0.48,0.30
593,1.37,0.29
594,0.47,0.31
595,0.51,0.33
596,0.59,0.23
