n,ijk,ikj,kij,kji,jki,jik
123,0.80,0.43,0.25,1.26,0.88,0.01
124,0.97,0.39,0.34,1.43,0.97,0.01
125,0.99,0.44,0.29,1.20,0.96,0.01
126,1.11,0.46,0.28,4.25,4.34,0.03
127,1.60,0.78,0.44,4.30,4.47,0.04
128,1.38,0.85,0.56,1.55,0.93,0.01
129,1.14,0.47,0.40,1.52,0.96,0.01
130,1.08,0.37,0.40,1.38,1.01,0.01
131,1.17,0.52,0.30,1.47,1.17,0.01
132,1.15,0.52,0.38,1.33,1.10,0.01
133,1.17,0.54,0.31,1.33,1.10,0.01
134,1.22,0.51,0.45,1.21,1.39,0.01
135,1.45,0.67,0.49,1.47,1.44,0.01
136,1.52,0.66,0.54,1.62,1.42,0.01
137,1.72,0.52,0.47,1.42,1.25,0.01
138,1.42,0.54,0.47,1.66,1.30,0.01
139,1.64,0.58,0.57,2.51,1.62,0.02
140,1.69,0.57,0.60,1.84,1.70,0.01
141,1.52,0.57,0.44,1.62,1.55,0.01
142,1.48,0.76,0.56,1.64,1.48,0.01
143,1.52,0.60,0.51,1.68,1.54,0.01
144,1.65,0.69,0.56,1.66,1.52,0.01
145,1.58,0.68,0.54,1.70,1.57,0.01
146,1.66,0.72,0.55,2.19,1.62,0.01
147,1.85,0.73,0.54,2.02,1.67,0.01
148,1.72,0.73,0.54,1.91,1.75,0.01
149,1.75,0.76,0.57,1.87,1.78,0.01
150,1.80,0.51,0.59,2.02,2.10,0.01
151,1.80,0.60,0.60,2.06,1.94,0.02
152,1.87,0.89,0.61,1.99,2.02,0.01
153,1.92,0.85,0.64,2.07,2.02,0.02
154,2.03,0.59,0.67,2.75,2.98,0.02
155,2.56,1.08,0.77,2.59,2.31,0.02
156,2.22,0.65,0.66,2.26,2.10,0.01
157,2.02,0.76,0.78,2.23,2.08,0.02
158,2.08,0.71,0.61,3.45,3.24,0.02
159,2.12,0.72,0.72,3.65,3.20,0.02
160,2.19,0.91,0.71,3.47,2.95,0.01
161,2.26,0.96,0.70,2.40,2.34,0.02
162,2.28,0.88,0.70,2.86,2.33,0.02
163,2.27,0.91,0.73,2.97,2.33,0.02
164,2.32,0.88,0.77,2.58,2.34,0.02
165,2.60,0.91,0.76,2.56,2.36,0.02
166,2.41,1.00,0.79,3.05,2.58,0.02
167,2.50,0.94,0.78,2.91,2.53,0.02
168,3.25,1.10,0.82,2.84,2.60,0.02
169,2.63,1.02,0.92,2.84,2.60,0.02
170,2.49,0.81,0.84,4.40,2.75,0.02
171,2.65,0.90,0.85,3.35,2.76,0.02
172,2.69,0.92,0.86,2.96,2.74,0.02
173,2.74,1.06,0.91,3.03,2.77,0.02
174,2.83,1.20,0.89,3.44,3.16,0.02
175,2.88,1.00,0.88,3.54,3.13,0.02
176,2.89,1.28,0.91,3.20,3.13,0.02
177,3.27,1.06,0.93,3.43,3.28,0.02
178,3.09,1.37,1.09,3.70,3.15,0.03
179,3.04,0.87,0.94,3.90,3.28,0.02
180,3.10,0.90,0.98,3.60,3.41,0.02
181,3.18,1.30,0.97,3.53,3.28,0.02
182,3.23,0.94,1.00,3.88,3.55,0.02
183,4.05,1.12,1.03,3.98,3.53,0.02
184,3.47,1.47,1.05,3.78,3.64,0.02
185,3.55,1.40,1.13,3.83,3.57,0.02
186,3.46,1.28,1.10,4.38,3.65,0.02
187,3.48,1.26,1.07,4.33,3.80,0.02
188,3.59,1.66,1.29,4.05,3.87,0.02
189,3.60,1.55,1.26,4.07,3.85,0.02
190,5.09,1.37,1.14,9.77,10.04,0.05
191,5.15,1.43,1.11,10.59,9.93,0.05
192,3.79,1.63,1.20,4.46,4.06,0.02
193,3.79,1.80,1.34,4.60,4.11,0.02
194,3.94,1.66,1.24,5.01,4.19,0.03
